Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
taskTimes;salbp1-simulated-annealing.cpp;12;1.7436587810516357;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.9201159477233887;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.260500192642212;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.1755239963531494;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;2.175091505050659;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.3201103210449219;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5280356407165527;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.8916101455688477;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.1497485637664795;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.167440414428711;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.828460931777954;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.7712852954864502;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.4477946758270264;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.008209466934204;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.6095991134643555;0-3;Random bit-flip
verbose;salbp1-simulated-annealing.cpp;24;0.9448814392089844;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.6839580535888672;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.4370965957641602;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;3.047144651412964;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5794599056243896;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5258018970489502;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;0.6655666828155518;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.047982931137085;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.078195571899414;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.7260379791259766;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.0034050941467285;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.229738712310791;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.205984115600586;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.1156890392303467;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5645971298217773;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.1977033615112305;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;2.7648696899414062;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.5426990985870361;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.0686571598052979;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.2079353332519531;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.159208059310913;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.7743902206420898;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.4213283061981201;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.9066715240478516;0-3;Random bit-flip
v;salbp1-simulated-annealing.cpp;69;1.4881925582885742;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.1263012886047363;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.9736943244934082;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.3254501819610596;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.6873011589050293;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.026643753051758;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.8333799839019775;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.7498350143432617;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;1.5827643871307373;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.9414958953857422;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.8394761085510254;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.2983319759368896;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.622649908065796;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;1.7765729427337646;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.7286417484283447;0-3;Random bit-flip
i;salbp1-simulated-annealing.cpp;264;0.9005908966064453;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.227247476577759;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.4967930316925049;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.4059312343597412;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.2045447826385498;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.1203844547271729;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.6766467094421387;0-3;Random bit-flip
taskTimes;salbp1-simulated-annealing.cpp;12;0.6317334175109863;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.547797441482544;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.875603199005127;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.2008421421051025;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.6652228832244873;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.3244454860687256;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.8432979583740234;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.597036600112915;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.5198850631713867;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.507810115814209;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.637329339981079;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.0812890529632568;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.513118028640747;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.7796740531921387;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.420942783355713;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.6682829856872559;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.306201457977295;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.0848708152770996;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;0.6845176219940186;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.9777650833129883;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.51542067527771;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.1893651485443115;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.3583521842956543;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.5281124114990234;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.9687449932098389;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.294604539871216;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.9244067668914795;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.6602230072021484;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.7344605922698975;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.3692069053649902;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.3271613121032715;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.4374489784240723;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.7743961811065674;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.4313650131225586;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.0043041706085205;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.6157832145690918;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.660273790359497;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.976447343826294;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.4012699127197266;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.7315449714660645;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.3876166343688965;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.6673390865325928;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.114244222640991;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;0.7247788906097412;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;0.6448266506195068;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;2.0438268184661865;0-3;Random bit-flip
