Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
iterations;salbp1-simulated-annealing.cpp;20;1.2487492561340332;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.1210575103759766;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.078660249710083;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.337453842163086;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;1.568232774734497;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.6561346054077148;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.4960241317749023;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.354182481765747;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;1.8927679061889648;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;2.8709752559661865;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.807915687561035;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.9613175392150879;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.7465243339538574;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.195176839828491;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.951052188873291;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;0.7699565887451172;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;2.275284767150879;0-3;Random bit-flip
cycleTime;salbp1-simulated-annealing.cpp;11;2.211653709411621;0-3;Random bit-flip
currentSolution;salbp1-simulated-annealing.cpp;261;2.5916860103607178;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.448702335357666;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.5457046031951904;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.7407321929931641;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.9506564140319824;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.2312939167022705;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.8571162223815918;0-3;Random bit-flip
temperature;salbp1-simulated-annealing.cpp;16;1.806060552597046;0-3;Random bit-flip
decay;salbp1-simulated-annealing.cpp;19;0.747981071472168;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.1929798126220703;0-3;Random bit-flip
temperatureLimit;salbp1-simulated-annealing.cpp;18;1.5602107048034668;0-3;Random bit-flip
seed;salbp1-simulated-annealing.cpp;21;1.5363833904266357;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.5464494228363037;0-3;Random bit-flip
iterations;salbp1-simulated-annealing.cpp;20;1.7404961585998535;0-3;Random bit-flip
