Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
this;simulatedannealing.cpp;0;3.836595058441162;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.6891438961029053;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;10.62173581123352;0-11;Random bit-flip
instance;solution.cpp;11;2.3914365768432617;0-11;Random bit-flip
this;simulatedannealing.cpp;0;6.548022747039795;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;2.9845266342163086;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;1.3845491409301758;0-11;Random bit-flip
instance;solution.cpp;11;2.048180341720581;0-11;Random bit-flip
neigh;solution.cpp;65;3.149106979370117;0-11;Random bit-flip
neigh;solution.cpp;65;6.320434331893921;0-11;Random bit-flip
location;solution.cpp;62;4.075407266616821;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;3.1789045333862305;0-11;Random bit-flip
this;simulatedannealing.cpp;0;3.9485714435577393;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;3.332157850265503;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.1544535160064697;0-11;Random bit-flip
v;solution.cpp;33;7.0628228187561035;0-11;Random bit-flip
this;instance.cpp;0;5.308405637741089;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;3.40169095993042;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;8.090800523757935;0-11;Random bit-flip
this;simulatedannealing.cpp;0;6.486306667327881;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;7.249152660369873;0-11;Random bit-flip
this;simulatedannealing.cpp;0;7.125269412994385;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.589143991470337;0-11;Random bit-flip
this;simulatedannealing.cpp;0;7.792698383331299;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;3.868886709213257;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.9296987056732178;0-11;Random bit-flip
this;simulatedannealing.cpp;0;5.724980115890503;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;9.929458379745483;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;1.6113195419311523;0-11;Random bit-flip
this;simulatedannealing.cpp;0;5.137606143951416;0-11;Random bit-flip
__depth_limit;/usr/include/c++/5/bits/stl_algo.h;1937;1.8437848091125488;0-11;Random bit-flip
this;simulatedannealing.cpp;0;3.021019458770752;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.3621649742126465;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;5.900642395019531;0-11;Random bit-flip
this;simulatedannealing.cpp;0;4.433879137039185;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.3463265895843506;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;1.2474257946014404;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.7179644107818604;0-11;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;4689;3.836308479309082;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;3.5987234115600586;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;3.5980594158172607;0-11;Random bit-flip
__first;/usr/include/c++/5/bits/stl_algo.h;1958;7.017138957977295;0-11;Random bit-flip
this;simulatedannealing.cpp;0;3.205657720565796;0-11;Random bit-flip
neighbour;simulatedannealing.cpp;34;1.14082670211792;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.5567355155944824;0-11;Random bit-flip
instance;solution.cpp;11;2.870210647583008;0-11;Random bit-flip
duration;salbp1-sa.cpp;40;3.240553140640259;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.2199687957763672;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;2.0981059074401855;0-11;Random bit-flip
this;simulatedannealing.cpp;0;3.515942335128784;0-11;Random bit-flip
this;simulatedannealing.cpp;0;2.9849483966827393;0-11;Random bit-flip
this;solution.cpp;0;1.9828717708587646;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;2.0867133140563965;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.566925287246704;0-11;Random bit-flip
instance;solution.cpp;11;4.684911727905273;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;2.386075496673584;0-11;Random bit-flip
sa1;salbp1-sa.cpp;23;3.749635696411133;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;1.4431383609771729;0-11;Random bit-flip
this;simulatedannealing.cpp;0;1.6731503009796143;0-11;Random bit-flip
this;simulatedannealing.cpp;0;3.713632345199585;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;2.431055784225464;0-11;Random bit-flip
this;solution.cpp;0;2.466933488845825;0-11;Random bit-flip
tasks;solution.cpp;11;9.128263711929321;0-11;Random bit-flip
this;solution.cpp;0;2.271961212158203;0-11;Random bit-flip
this;solution.cpp;0;1.9523541927337646;0-11;Random bit-flip
tasks;solution.cpp;11;5.6103270053863525;0-11;Random bit-flip
tasks;solution.cpp;11;1.5131802558898926;0-11;Random bit-flip
instance1;salbp1-sa.cpp;21;2.222721576690674;0-11;Random bit-flip
instance;solution.cpp;11;2.1123335361480713;0-11;Random bit-flip
__last;/usr/include/c++/5/bits/stl_algo.h;1913;1.5211536884307861;0-11;Random bit-flip
sa2;salbp1-sa.cpp;28;2.6415491104125977;0-11;Random bit-flip
this;solution.cpp;0;6.528179407119751;0-11;Random bit-flip
newTasks;solution.cpp;61;7.6287102699279785;0-11;Random bit-flip
_dl_skip_args;rtld.c;84;1.2432641983032227;0-11;Random bit-flip
